rank,language,langage_code,primary_country,total_countries,speakers_millions,serialid
60,'Thai Northeastern ',' tts ','Thailand',1,15,112
61,'Zhuang ',' zha ','China',2,14.9,113
62,'Malagasy ',' mlg ','Madagascar',4,14.7,114
,'Malagasy Plateau ',' plt ','Madagascar',4,7.5,115
63,'Nepali ',' nep ','Nepal',5,13.9,116
64,'Somali ',' som ','Somalia',13,13.9,117
65,'Khmer Central ',' khm ','Cambodia',7,13.6,118
66,'Madura ',' mad ','Indonesia',2,13.6,119
67,'Bavarian ',' bar ','Austria',4,13.3,120
68,'Greek ',' ell ','Greece',38,13.1,121
69,'Chittagonian ',' ctg ','Bangladesh',1,13,122
70,'Haryanvi ',' bgc ','India',1,13,123
71,'Magahi ',' mag ','India',1,13,124
72,'Deccan ',' dcc ','India',1,12.8,125
73,'Hungarian ',' hun ','Hungary',14,12.5,126
74,'Fulah ',' ful ','Senegal',19,12.3,127
,'Pulaar ',' fuc ','Senegal',6,3.7,128
75,'Catalan-Valencian-Balear ',' cat ','Spain',18,11.5,129
76,'Shona ',' sna ','Zimbabwe',5,10.8,130
77,'Zulu ',' zul ','South Africa',6,10.3,131
78,'Sylheti ',' syl ','Bangladesh',10,10.3,132
79,'Quechua ',' que ','Peru',6,10.1,133
,'Quechua South Bolivian ',' quh ','Bolivia',2,3.6,134
80,'Kanauji ',' bjj ','India',1,9.5,135
81,'Czech ',' ces ','Czech Republic',12,9.5,136
82,'Lombard ',' lmo ','Italy',3,9.1,137
83,'Bulgarian ',' bul ','Bulgaria',16,9.1,138
84,'Uyghur ',' uig ','China',15,8.8,139
85,'Nyanja ',' nya ','Malawi',6,8.7,140
86,'Belarusan ',' bel ','Belarus',16,8.6,141
87,'Kazakh ',' kaz ','Kazakhstan',14,8.3,142
88,'Swedish ',' swe ','Sweden',8,8.3,143
89,'Akan ',' aka ','Ghana',1,8.3,144
90,'Xhosa ',' xho ','South Africa',3,7.8,145
91,'Bagheli ',' bfy ','India',2,7.8,146
92,'Haitian ',' hat ','Haiti',10,7.7,147
93,'Konkani ',' kok ','India',4,7.6,148
,'Konkani ',' knn ','India',2,4,149
,'Konkani Goan ',' gom ','India',3,3.6,150
94,'Rwanda ',' kin ','Rwanda',4,7.5,151
95,'Gikuyu ',' kik ','Kenya',1,7.2,152
96,'Napoletano-Calabrese ',' nap ','Italy',1,7,153
97,'Baluchi ',' bal ','Pakistan',8,7,154
,'Balochi Southern ',' bcc ','Pakistan',4,3.4,155
98,'Ilocano ',' ilo ','Philippines',2,7,156
99,'Varhadi-Nagpuri ',' vah ','India',1,7,157
100,'Turkmen ',' tuk ','Turkmenistan',14,6.6,158
101,'Tatar ',' tat ','Russian Federation',19,6.5,159
102,'German Swiss ',' gsw ','Switzerland',5,6.5,160
103,'Hmong ',' hmn ','China',10,6.5,161
104,'Armenian ',' hye ','Armenia',30,6.4,162
105,'Luba-Kasai ',' lua ','Democratic Republic of the Congo',1,6.3,163
106,'Venetian ',' vec ','Italy',4,6.2,164
107,'Santali ',' sat ','India',4,6.2,165
108,'Vlaams ',' vls ','Belgium',5,6.1,166
109,'Sotho Southern ',' sot ','Lesotho',4,6,167
110,'Thai Northern ',' nod ','Thailand',2,6,168
111,'Lambadi ',' lmn ','India',1,6,169
112,'Kongo ',' kon ','Democratic Republic of the Congo',3,6,170
,'Koongo ',' kng ','Democratic Republic of the Congo',3,5,171
113,'Albanian ',' sqi ','Albania',18,5.8,172
,'Albanian Gheg ',' aln ','Serbia',9,4.2,173
,'Albanian Tosk ',' als ','Albania',10,3,174
114,'Tigrigna ',' tir ','Ethiopia',6,5.8,175
115,'Hiligaynon ',' hil ','Philippines',2,5.8,176
116,'Mongolian ',' mon ','Mongolia',6,5.7,177
,'Mongolian Peripheral ',' mvf ','China',2,3.4,178
117,'Kashmiri ',' kas ','India',4,5.6,179
118,'Danish ',' dan ','Denmark',8,5.6,180
119,'Minangkabau ',' min ','Indonesia',1,5.5,181
120,'Sukuma ',' suk ','Tanzania',1,5.4,182
121,'Hebrew ',' heb ','Israel',8,5.3,183
122,'MÃ²orÃ© ',' mos ','Burkina Faso',7,5.1,184
123,'Slovak ',' slk ','Slovakia',12,5,185
124,'Finnish ',' fin ','Finland',7,5,186
125,'Mewati ',' wtm ','India',1,5,187
126,'Afrikaans ',' afr ','South Africa',12,4.9,188
127,'Guarani ',' grn ','Paraguay',5,4.9,189
,'GuaranÃ­ Paraguayan ',' gug ','Paraguay',2,4.8,190
128,'MainfrÃ¤nkisch ',' vmf ','Germany',1,4.9,191
129,'Rundi ',' run ','Burundi',4,4.9,192
130,'Bikol ',' bik ','Philippines',1,4.8,193
131,'Sicilian ',' scn ','Italy',1,4.8,194
132,'Norwegian ',' nor ','Norway',1,4.6,195
133,'Mandingo ',' man ','Guinea',8,4.5,196
134,'Tswana ',' tsn ','Botswana',4,4.5,197
135,'Thai Southern ',' sou ','Thailand',1,4.5,198
136,'Tajiki ',' tgk ','Tajikistan',8,4.5,199
137,'Dholuo ',' luo ','Kenya',2,4.4,200
138,'Georgian ',' kat ','Georgia',13,4.3,201
139,'Kituba ',' ktu ','Democratic Republic of the Congo',1,4.2,202
140,'Ganda ',' lug ','Uganda',1,4.1,203
141,'Sotho Northern ',' nso ','South Africa',2,4.1,204
142,'Umbundu ',' umb ','Angola',2,4,205
143,'Wolof ',' wol ','Senegal',6,4,206
144,'Kamba ',' kam ','Kenya',1,4,207
145,'Kanuri ',' kau ','Nigeria',6,4,208
,'Kanuri Central ',' knc ','Nigeria',6,3.2,209
146,'Domari ',' rmt ','Iran',14,4,210
147,'Musi ',' mui ','Indonesia',1,3.9,211
148,'Dogri ',' doi ','India',1,3.8,212
149,'Mina ',' myi ','India',1,3.8,213
150,'Tsonga ',' tso ','South Africa',4,3.7,214
151,'Bemba ',' bem ','Zambia',4,3.6,215
152,'Banjar ',' bjn ','Indonesia',2,3.5,216
153,'Aceh ',' ace ','Indonesia',1,3.5,217
154,'Bugis ',' bug ','Indonesia',2,3.5,218
155,'Bali ',' ban ','Indonesia',1,3.3,219
156,'Shan ',' shn ','Myanmar',3,3.3,220
157,'Gilaki ',' glk ','Iran',1,3.3,221
158,'Mazanderani ',' mzn ','Iran',1,3.3,222
159,'Jamaican Creole English ',' jam ','Jamaica',7,3.2,223
160,'Galician ',' glg ','Spain',2,3.2,224
161,'Lao ',' lao ','Laos',7,3.2,225
162,'Lithuanian ',' lit ','Lithuania',19,3.2,226
163,'Tamazight Central Atlas ',' tzm ','Morocco',3,3.2,227
164,'Kabyle ',' kab ','Algeria',3,3.1,228
165,'Hassaniyya ',' mey ','Mauritania',8,3.1,229
166,'ÃwÃ© ',' ewe ','Ghana',2,3.1,230
167,'Piemontese ',' pms ','Italy',3,3.1,231
168,'Makhuwa ',' vmw ','Mozambique',1,3.1,232
169,'Godwari ',' gdx ','India',1,3,233
170,'Hunsrik ',' hrx ','Brazil',5,3,234
171,'Kimbundu ',' kmb ','Angola',1,3,235
172,'Tachelhit ',' shi ','Morocco',3,3,236
